make_model,Price,Registration Date,COE Remaining,Manufactured,Mileage,No. of Owners,Transmission,Engine Capacity,fuel_type,COE,OMV,Paper Value,Depreciation,Type
AUDI Q5 2.0A TFSI QUATTRO S-TRONIC SPORT S-LINE,"$197,666   ",24-Jul-2020,9yrs 2mths 5days,2019,"12,000 km",1,Auto,"1,984 cc",,"$30,890","$43,629","$68,187","$18,630 / year",SUV
BMW 6 SERIES 630CI CABRIOLET (COE TILL 07/2026),"$61,800   ",31-Jul-2006,5yrs 2mths 12days,2006,"119,688 km",2,Auto,"2,996 cc",,"$51,630","$84,962","$26,862","$11,880 / year",Sports Car
TOYOTA PICNIC 2.0A (COE TILL 01/2029),"$60,800   ",05-Feb-2009,7yrs 8mths 13days,2008,"125,000 km",3,Auto,"1,998 cc",,"$31,335","$23,511","$24,167","$7,880 / year",MPV
HONDA JAZZ 1.3A,"$70,800   ",23-Aug-2018,7yrs 3mths 4days,2018,"46,000 km",1,Auto,"1,318 cc",,"$25,000","$15,769","$22,498","$9,340 / year",Hatchback
MERCEDES-BENZ CLA-CLASS CLA180 AMG LINE,"$118,888   ",14-May-2018,6yrs 11mths 25days,2017,"60,000 km",1,Auto,"1,595 cc",,"$38,039","$30,295","$52,406","$14,540 / year",Luxury Sedan
TOYOTA CAMRY HYBRID 2.5A G,"$107,999   ",18-Apr-2019,7yrs 10mths 30days,2018,"21,980 km",1,Auto,"2,487 cc",Petrol-Electric,"$43,102","$35,721","$58,147","$11,610 / year",Luxury Sedan
VOLKSWAGEN GOLF 1.4A TSI,"$31,988   ",11-Dec-2013,2yrs 6mths 22days,2013,"120,000 km",3,Auto,"1,395 cc",,"$73,160","$20,921","$22,535","$11,250 / year",Hatchback
TOYOTA ALPHARD 2.5A S C-PACKAGE MOONROOF,"$120,000   ",29-Feb-2016,4yrs 9mths 10days,2015,"93,000 km",3,Auto,"2,493 cc",,"$38,610","$38,861","$50,964","$20,220 / year",MPV
MERCEDES-BENZ A-CLASS A180 PROGRESSIVE,"$143,888   ",30-Jul-2020,9yrs 2mths 11days,2020,"3,500 km",1,Auto,"1,332 cc",,"$33,520","$31,286","$57,698","$13,690 / year",Hatchback
MAZDA 5 2.0A SUNROOF,"$67,800   ",17-Feb-2017,5yrs 8mths 29days,2016,"73,360 km",1,Auto,"1,998 cc",,"$53,001","$19,661","$45,239","$10,080 / year",MPV
TOYOTA COROLLA ALTIS 1.6A (COE TILL 04/2023),"$16,800   ",12-Apr-2008,1yr 10mths 24days,2008,"188,000 km",3,Auto,"1,598 cc",,"$19,328","$16,994","$3,670","$8,850 / year",Mid-Sized Sedan
FERRARI 458 ITALIA,"$538,888   ",02-Jan-2013,1yr 7mths 14days,2012,"48,000 km",3,Auto,"4,497 cc",,"$93,501","$322,851","$192,759","$232,330 / year",Sports Car
KIA SORENTO DIESEL 2.2A CRDI SUNROOF,"$92,800   ",30-Mar-2017,5yrs 10mths 11days,2017,"60,000 km",2,Auto,"2,199 cc",Diesel,"$48,556","$29,681","$53,647","$12,960 / year",SUV
MITSUBISHI EVOLUTION 10 GSR SST (COE TILL 04/2030),"$126,800   ",06-May-2010,8yrs 11mths 12days,2008,"145,837 km",4,Auto,"1,998 cc",,"$33,568","$47,577","$30,064","$14,160 / year",Sports Car
AUDI Q5 2.0A TFSI QUATTRO,"$200,000   ",29-Mar-2017,5yrs 10mths 10days,2016,"70,000 km",1,Auto,"1,984 cc",,"$53,001","$35,276","$62,115","$30,580 / year",SUV
MERCEDES-BENZ CLA-CLASS CLA180 AMG LINE,"$118,888   ",14-May-2018,6yrs 11mths 25days,2017,"60,000 km",1,Auto,"1,595 cc",,"$38,039","$30,295","$52,406","$14,540 / year",Luxury Sedan
MERCEDES-BENZ GLC-CLASS GLC43 AMG 4MATIC PREMIUM,"$357,988   ",08-Feb-2021,9yrs 8mths 20days,2020,652 km,1,Auto,"2,996 cc",,"$49,500","$76,161","$129,988","$31,180 / year",SUV
BMW M SERIES M235I COUPE,"$101,800   ",05-Sep-2014,3yrs 3mths 17days,2014,"100,100 km",2,Auto,"2,979 cc",,"$69,001","$45,298","$58,801","$22,440 / year",Sports Car
MINI COOPER S 1.6A SUNROOF (COE TILL 05/2030),"$88,800   ",11-May-2010,8yrs 11mths 22days,2010,"177,777 km",4,Auto,"1,598 cc",,"$32,875","$28,969","$29,533","$9,880 / year",Sports Car
HONDA FREED 1.5A G HONDA SENSING,"$117,988   ",03-Dec-2020,9yrs 6mths 14days,2020,68 km,1,Auto,"1,496 cc",Petrol-Electric,"$41,101","$28,766","$55,948","$11,190 / year",MPV
MERCEDES-BENZ S-CLASS S320L,"$275,800   ",11-Jan-2018,6yrs 7mths 23days,2017,"47,000 km",1,Auto,"2,996 cc",,"$47,002","$91,456","$133,732","$31,190 / year",Luxury Sedan
MERCEDES-BENZ A-CLASS A45 S AMG 4MATIC+ PLUS,"$289,800   ",29-Jan-2021,9yrs 8mths 10days,2020,388 km,1,Auto,"1,991 cc",,"$39,889","$69,793","$111,930","$24,830 / year",Sports Car
TOYOTA WISH 1.8A (COE TILL 06/2023),"$16,888   ",27-Jun-2008,2yrs 1mth 8days,2008,"218,379 km",5,Auto,"1,794 cc",,"$18,953","$18,803","$3,993","$8,020 / year",MPV
MERCEDES-BENZ CLA-CLASS CLA180 AMG LINE,"$118,888   ",14-May-2018,6yrs 11mths 25days,2017,"60,000 km",1,Auto,"1,595 cc",,"$38,039","$30,295","$52,406","$14,540 / year",Luxury Sedan
HONDA SHUTTLE 1.5A G,"$60,800   ",20-Mar-2017,5yrs 10mths 1day,2016,"51,012 km",3,Auto,"1,496 cc",,"$50,789","$19,588","$36,843","$9,590 / year",Stationwagon
NISSAN X-TRAIL 2.0A PREMIUM 7-SEATER SUNROOF,"$136,800   ",21-Dec-2020,9yrs 7mths 2days,2019,"5,800 km",1,Auto,"1,997 cc",,"$45,012","$24,391","$62,810","$12,890 / year",SUV
MINI JOHN COOPER WORKS GP 2.0A,"$220,988   ",14-Apr-2021,9yrs 10mths 26days,2020,652 km,1,Auto,"1,998 cc",,"$47,506","$47,793","$91,260","$19,330 / year",Sports Car
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$89,900   ",15-Dec-2015,4yrs 6mths 26days,2015,"115,000 km",2,Auto,"1,595 cc",,"$61,103","$35,428","$53,593","$15,640 / year",Luxury Sedan
AUDI Q5 2.0A TFSI QUATTRO S-TRONIC SPORT S-LINE,"$197,666   ",24-Jul-2020,9yrs 2mths 5days,2019,"12,000 km",1,Auto,"1,984 cc",,"$30,890","$43,629","$68,187","$18,630 / year",SUV
BMW 6 SERIES 630CI CABRIOLET (COE TILL 07/2026),"$61,800   ",31-Jul-2006,5yrs 2mths 12days,2006,"119,688 km",2,Auto,"2,996 cc",,"$51,630","$84,962","$26,862","$11,880 / year",Sports Car
TOYOTA PICNIC 2.0A (COE TILL 01/2029),"$60,800   ",05-Feb-2009,7yrs 8mths 13days,2008,"125,000 km",3,Auto,"1,998 cc",,"$31,335","$23,511","$24,167","$7,880 / year",MPV
HONDA JAZZ 1.3A,"$70,800   ",23-Aug-2018,7yrs 3mths 4days,2018,"46,000 km",1,Auto,"1,318 cc",,"$25,000","$15,769","$22,498","$9,340 / year",Hatchback
SUBARU LEVORG 1.6A GT-S,"$86,888   ",29-Feb-2016,4yrs 9mths 10days,2016,"49,000 km",2,Auto,"1,600 cc",,"$38,610","$24,809","$37,193","$15,360 / year",Stationwagon
SUBARU FORESTER 2.0XT SUNROOF,"$73,800   ",05-Aug-2016,5yrs 2mths 17days,2016,"107,000 km",1,Auto,"1,998 cc",,"$57,508","$18,626","$43,968","$12,360 / year",SUV
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$89,900   ",15-Dec-2015,4yrs 6mths 26days,2015,"115,000 km",2,Auto,"1,595 cc",,"$61,103","$35,428","$53,593","$15,640 / year",Luxury Sedan
AUDI Q5 2.0A TFSI QUATTRO S-TRONIC SPORT S-LINE,"$197,666   ",24-Jul-2020,9yrs 2mths 5days,2019,"12,000 km",1,Auto,"1,984 cc",,"$30,890","$43,629","$68,187","$18,630 / year",SUV
BMW 6 SERIES 630CI CABRIOLET (COE TILL 07/2026),"$61,800   ",31-Jul-2006,5yrs 2mths 12days,2006,"119,688 km",2,Auto,"2,996 cc",,"$51,630","$84,962","$26,862","$11,880 / year",Sports Car
TOYOTA PICNIC 2.0A (COE TILL 01/2029),"$60,800   ",05-Feb-2009,7yrs 8mths 13days,2008,"125,000 km",3,Auto,"1,998 cc",,"$31,335","$23,511","$24,167","$7,880 / year",MPV
HONDA JAZZ 1.3A,"$70,800   ",23-Aug-2018,7yrs 3mths 4days,2018,"46,000 km",1,Auto,"1,318 cc",,"$25,000","$15,769","$22,498","$9,340 / year",Hatchback
MERCEDES-BENZ CLA-CLASS CLA180 AMG LINE,"$118,888   ",14-May-2018,6yrs 11mths 25days,2017,"60,000 km",1,Auto,"1,595 cc",,"$38,039","$30,295","$52,406","$14,540 / year",Luxury Sedan
MAZDA 3 1.5A,"$56,900   ",21-Jun-2016,5yrs 1mth 2days,2016,"46,700 km",1,Auto,"1,496 cc",,"$53,694","$16,296","$35,819","$10,060 / year",Mid-Sized Sedan
MAZDA CX-3 2.0A STANDARD,"$81,800   ",28-Feb-2019,7yrs 9mths 9days,2018,"28,000 km",2,Auto,"1,998 cc",,"$35,403","$16,898","$40,239","$9,420 / year",SUV
MERCEDES-BENZ C-CLASS C180 AVANTGARDE,"$89,900   ",15-Dec-2015,4yrs 6mths 26days,2015,"115,000 km",2,Auto,"1,595 cc",,"$61,103","$35,428","$53,593","$15,640 / year",Luxury Sedan
AUDI Q5 2.0A TFSI QUATTRO S-TRONIC SPORT S-LINE,"$197,666   ",24-Jul-2020,9yrs 2mths 5days,2019,"12,000 km",1,Auto,"1,984 cc",,"$30,890","$43,629","$68,187","$18,630 / year",SUV
BMW 6 SERIES 630CI CABRIOLET (COE TILL 07/2026),"$61,800   ",31-Jul-2006,5yrs 2mths 12days,2006,"119,688 km",2,Auto,"2,996 cc",,"$51,630","$84,962","$26,862","$11,880 / year",Sports Car
TOYOTA PICNIC 2.0A (COE TILL 01/2029),"$60,800   ",05-Feb-2009,7yrs 8mths 13days,2008,"125,000 km",3,Auto,"1,998 cc",,"$31,335","$23,511","$24,167","$7,880 / year",MPV
HONDA JAZZ 1.3A,"$70,800   ",23-Aug-2018,7yrs 3mths 4days,2018,"46,000 km",1,Auto,"1,318 cc",,"$25,000","$15,769","$22,498","$9,340 / year",Hatchback
SUBARU LEVORG 1.6A GT-S,"$86,888   ",29-Feb-2016,4yrs 9mths 10days,2016,"49,000 km",2,Auto,"1,600 cc",,"$38,610","$24,809","$37,193","$15,360 / year",Stationwagon
AUDI A6 MILD HYBRID 3.0A TFSI QUATTRO S-TRONIC,"$308,888   ",30-Nov-2020,9yrs 6mths 11days,2018,"2,300 km",1,Auto,"2,995 cc",Petrol-Electric,"$39,500","$79,965","$124,635","$26,300 / year",Luxury Sedan
BMW 2 SERIES 216D ACTIVE TOURER,"$60,800   ",11-Jan-2016,4yrs 7mths 23days,2015,"165,000 km",4,Auto,"1,496 cc",Diesel,"$55,089","$26,799","$39,291","$10,970 / year",Hatchback
AUDI A6 2.0A TFSI MU,"$71,000   ",30-Sep-2014,3yrs 4mths 11days,2013,"100,000 km",3,Auto,"1,984 cc",,"$74,801","$38,197","$51,516","$15,060 / year",Luxury Sedan
MITSUBISHI OUTLANDER 2.4A SUNROOF,"$63,800   ",10-May-2016,4yrs 11mths 21days,2015,"155,591 km",1,Auto,"2,360 cc",,"$46,502","$21,335","$38,457","$10,620 / year",SUV
MERCEDES-BENZ C-CLASS C200 COUPE MILD HYBRID AMG LINE,"$193,300   ",15-Jan-2020,8yrs 7mths 27days,2019,"21,000 km",1,Auto,"1,497 cc",Petrol-Electric,"$36,000","$55,002","$84,450","$18,210 / year",Sports Car
MAZDA 2 HB 1.5A V (COE TILL 10/2029),"$48,800   ",27-Jan-2010,8yrs 5mths 13days,2009,"110,000 km",2,Auto,"1,498 cc",,"$30,574","$17,113","$25,866","$5,770 / year",Hatchback
MERCEDES-BENZ AMG GT 63 S 4MATIC+,"$699,800   ",01-Aug-2019,8yrs 2mths 13days,2019,"18,488 km",1,Auto,"3,982 cc",,"$39,406","$181,358","$256,179","$67,080 / year",Sports Car
MAZDA 5 2.0A SUNROOF,"$59,800   ",15-Apr-2016,4yrs 10mths 27days,2016,"93,000 km",1,Auto,"1,998 cc",,"$46,667","$19,126","$36,300","$10,230 / year",MPV
BMW 7 SERIES 740LI M-SPORT,"$414,988   ",16-Apr-2021,9yrs 10mths 28days,2020,28 km,1,Auto,"2,998 cc",,"$52,309","$74,756","$131,785","$36,480 / year",Luxury Sedan
MAZDA 3 1.5A,"$56,900   ",21-Jun-2016,5yrs 1mth 2days,2016,"46,700 km",1,Auto,"1,496 cc",,"$53,694","$16,296","$35,819","$10,060 / year",Mid-Sized Sedan
LEXUS GS TURBO GS200T F SPORT,"$136,800   ",29-Jul-2016,5yrs 2mths 10days,2016,"46,000 km",1,Auto,"1,998 cc",,"$57,508","$55,619","$83,975","$19,380 / year",Luxury Sedan
BMW 1 SERIES 116D,"$67,777   ",27-Oct-2016,5yrs 5mths 8days,2016,"46,000 km",3,Auto,"1,496 cc",Diesel,"$56,889","$23,904","$38,819","$11,490 / year",Hatchback
MERCEDES-BENZ S-CLASS S600L AMG LINE,"$336,000   ",08-May-2015,3yrs 11mths 19days,2014,"45,000 km",3,Auto,"5,980 cc",,"$70,890","$139,450","$173,118","$56,510 / year",Luxury Sedan
MERCEDES-BENZ A-CLASS A200 STYLE,"$80,000   ",28-Apr-2016,4yrs 11mths 9days,2016,"74,000 km",1,Auto,"1,595 cc",,"$46,502","$24,971","$38,368","$13,960 / year",Hatchback
TOYOTA AVANZA 1.5A,"$67,888   ",17-Oct-2016,5yrs 4mths 28days,2016,"41,000 km",2,Auto,"1,496 cc",,"$51,507","$18,745","$41,957","$10,800 / year",MPV
BMW 3 SERIES 335I (COE TILL 03/2029),"$78,888   ",25-Jun-2009,7yrs 10mths 13days,2008,"155,000 km",3,Auto,"2,979 cc",,"$33,018","$62,502","$25,998","$10,020 / year",Luxury Sedan
MAZDA 5 2.0A SUNROOF,"$59,800   ",15-Apr-2016,4yrs 10mths 27days,2016,"93,000 km",1,Auto,"1,998 cc",,"$46,667","$19,126","$36,300","$10,230 / year",MPV
BMW 7 SERIES 740LI M-SPORT,"$414,988   ",16-Apr-2021,9yrs 10mths 28days,2020,28 km,1,Auto,"2,998 cc",,"$52,309","$74,756","$131,785","$36,480 / year",Luxury Sedan
MINI COOPER S CABRIOLET 1.6A,"$45,888   ",02-Aug-2012,1yr 2mths 14days,2012,"86,689 km",3,Auto,"1,598 cc",,"$59,421","$30,050","$23,691","$25,600 / year",Sports Car
PORSCHE 911 GT3 (COE TILL 11/2027),"$428,100   ",20-Feb-2008,6yrs 6mths 12days,2007,"102,000 km",5,Manual,"3,600 cc",,"$50,168","$156,809","$32,808","$65,460 / year",Sports Car
MITSUBISHI OUTLANDER 2.4A SUNROOF,"$63,800   ",10-May-2016,4yrs 11mths 21days,2015,"155,591 km",1,Auto,"2,360 cc",,"$46,502","$21,335","$38,457","$10,620 / year",SUV
MERCEDES-BENZ C-CLASS C200 COUPE MILD HYBRID AMG LINE,"$193,300   ",15-Jan-2020,8yrs 7mths 27days,2019,"21,000 km",1,Auto,"1,497 cc",Petrol-Electric,"$36,000","$55,002","$84,450","$18,210 / year",Sports Car
MAZDA 2 HB 1.5A V (COE TILL 10/2029),"$48,800   ",27-Jan-2010,8yrs 5mths 13days,2009,"110,000 km",2,Auto,"1,498 cc",,"$30,574","$17,113","$25,866","$5,770 / year",Hatchback
MERCEDES-BENZ AMG GT 63 S 4MATIC+,"$699,800   ",01-Aug-2019,8yrs 2mths 13days,2019,"18,488 km",1,Auto,"3,982 cc",,"$39,406","$181,358","$256,179","$67,080 / year",Sports Car
MAZDA 5 2.0A SUNROOF,"$59,800   ",15-Apr-2016,4yrs 10mths 27days,2016,"93,000 km",1,Auto,"1,998 cc",,"$46,667","$19,126","$36,300","$10,230 / year",MPV
BMW 7 SERIES 740LI M-SPORT,"$414,988   ",16-Apr-2021,9yrs 10mths 28days,2020,28 km,1,Auto,"2,998 cc",,"$52,309","$74,756","$131,785","$36,480 / year",Luxury Sedan
HONDA FIT 1.3A GF,"$87,555   ",09-Feb-2021,9yrs 8mths 21days,2020,188 km,1,Auto,"1,317 cc",,"$43,501","$16,405","$46,095","$8,740 / year",Hatchback
MERCEDES-BENZ GLC-CLASS GLC300 MILD HYBRID AMG LINE,"$224,988   ",05-Feb-2021,9yrs 8mths 17days,2020,652 km,1,Auto,"1,991 cc",,"$49,001","$46,291","$90,251","$20,220 / year",SUV
MERCEDES-BENZ GLC-CLASS GLC300 COUPE MILD HYBRID AMG LINE,"$246,988   ",08-Feb-2021,9yrs 8mths 20days,2020,652 km,1,Auto,"1,991 cc",Petrol-Electric,"$49,300","$52,094","$97,304","$22,000 / year",SUV
FERRARI 488 GTB,"$688,800   ",26-Feb-2016,4yrs 9mths 7days,2015,"9,800 km",2,Auto,"3,902 cc",,"$61,103","$267,744","$346,954","$96,660 / year",Sports Car
MERCEDES-BENZ C-CLASS C200 COUPE MILD HYBRID AMG LINE,"$193,300   ",15-Jan-2020,8yrs 7mths 27days,2019,"21,000 km",1,Auto,"1,497 cc",Petrol-Electric,"$36,000","$55,002","$84,450","$18,210 / year",Sports Car
MAZDA 2 HB 1.5A V (COE TILL 10/2029),"$48,800   ",27-Jan-2010,8yrs 5mths 13days,2009,"110,000 km",2,Auto,"1,498 cc",,"$30,574","$17,113","$25,866","$5,770 / year",Hatchback
MERCEDES-BENZ AMG GT 63 S 4MATIC+,"$699,800   ",01-Aug-2019,8yrs 2mths 13days,2019,"18,488 km",1,Auto,"3,982 cc",,"$39,406","$181,358","$256,179","$67,080 / year",Sports Car
MAZDA 5 2.0A SUNROOF,"$59,800   ",15-Apr-2016,4yrs 10mths 27days,2016,"93,000 km",1,Auto,"1,998 cc",,"$46,667","$19,126","$36,300","$10,230 / year",MPV
BMW 1 SERIES 118I 5DR M-SPORT,"$150,588   ",30-Oct-2020,9yrs 5mths 11days,2020,"4,000 km",1,Auto,"1,499 cc",,"$41,001","$33,992","$68,457","$13,830 / year",Hatchback
MERCEDES-BENZ CLA-CLASS CLA180,"$81,888   ",01-Mar-2016,4yrs 9mths 10days,2015,"163,000 km",2,Auto,"1,595 cc",,"$51,000","$29,713","$44,429","$14,120 / year",Luxury Sedan
PORSCHE CAYENNE DIESEL 3.0A TIP,"$162,000   ",06-Jan-2014,2yrs 7mths 18days,2013,"53,730 km",2,Auto,"2,967 cc",Diesel,"$73,010","$83,691","$92,829","$38,200 / year",SUV
PORSCHE 911 CARRERA S CABRIOLET 3.8A PDK,"$318,000   ",08-Feb-2013,1yr 8mths 20days,2012,"65,000 km",2,Auto,"3,800 cc",,"$97,889","$147,018","$97,756","$141,650 / year",Sports Car
OPEL GRANDLAND X 1.2A TURBO INNOVATION PREMIUM,"$98,955   ",29-Apr-2019,7yrs 11mths 10days,2018,"24,000 km",1,Auto,"1,199 cc",,"$33,199","$29,519","$51,391","$10,350 / year",SUV
MITSUBISHI OUTLANDER 2.4A SUNROOF,"$63,800   ",10-May-2016,4yrs 11mths 21days,2015,"155,591 km",1,Auto,"2,360 cc",,"$46,502","$21,335","$38,457","$10,620 / year",SUV
MAZDA 2 HB 1.5A V (COE TILL 10/2029),"$48,800   ",27-Jan-2010,8yrs 5mths 13days,2009,"110,000 km",2,Auto,"1,498 cc",,"$30,574","$17,113","$25,866","$5,770 / year",Hatchback
MERCEDES-BENZ AMG GT 63 S 4MATIC+,"$699,800   ",01-Aug-2019,8yrs 2mths 13days,2019,"18,488 km",1,Auto,"3,982 cc",,"$39,406","$181,358","$256,179","$67,080 / year",Sports Car
MAZDA 5 2.0A SUNROOF,"$59,800   ",15-Apr-2016,4yrs 10mths 27days,2016,"93,000 km",1,Auto,"1,998 cc",,"$46,667","$19,126","$36,300","$10,230 / year",MPV
MAZDA CX-3 2.0A STANDARD,"$79,800   ",28-Feb-2019,7yrs 9mths 9days,2018,"27,000 km",2,Auto,"1,998 cc",,"$35,403","$16,898","$40,239","$9,160 / year",SUV
BMW 3 SERIES 318I SPORT,"$193,000   ",22-Dec-2020,9yrs 7mths 3days,2020,"5,200 km",1,Auto,"1,998 cc",,"$45,510","$41,367","$81,125","$17,500 / year",Luxury Sedan
MERCEDES-BENZ C-CLASS C180 COUPE,"$175,500   ",27-Mar-2020,8yrs 10mths 8days,2019,"12,000 km",1,Auto,"1,497 cc",,"$32,801","$40,726","$65,825","$17,040 / year",Luxury Sedan
BMW X6 XDRIVE35I SUNROOF,"$88,800   ",25-Sep-2012,1yr 4mths 6days,2012,"82,000 km",1,Auto,"2,979 cc",,"$93,990","$77,597","$55,399","$36,940 / year",SUV
HYUNDAI I40 WAGON 2.0A SUNROOF,"$48,800   ",29-Apr-2014,2yrs 11mths 10days,2014,"78,000 km",2,Auto,"1,999 cc",,"$75,010","$23,397","$36,966","$12,360 / year",Stationwagon
MERCEDES-BENZ E-CLASS E250 CGI (COE TILL 04/2029),"$68,000   ",17-Dec-2009,7yrs 11mths 12days,2009,"196,000 km",3,Auto,"1,796 cc",,"$35,411","$53,001","$28,174","$8,550 / year",Luxury Sedan
TOYOTA WISH 2.0A (COE TILL 01/2030),"$59,900   ",27-Jan-2010,8yrs 8mths 8days,2009,"150,000 km",3,Auto,"1,987 cc",,"$39,463","$22,003","$34,327","$6,890 / year",MPV
HONDA STREAM 1.8A X (COE TILL 03/2024),"$25,888   ",16-Apr-2009,2yrs 10mths 13days,2008,"172,000 km",3,Auto,"1,799 cc",,"$16,509","$20,531","$4,740","$9,020 / year",MPV
MERCEDES-BENZ E-CLASS E350 COUPE AMG LINE SUNROOF (COE TILL 09/2030),"$107,800   ",01-Dec-2010,9yrs 4mths 12days,2010,"128,000 km",5,Auto,"3,498 cc",,"$34,935","$74,431","$32,753","$11,500 / year",Sports Car
VOLKSWAGEN GOLF R 5DR SUNROOF,"$197,800   ",09-Jul-2020,9yrs 1mth 20days,2019,"9,999 km",1,Auto,"1,984 cc",,"$35,889","$39,731","$68,539","$19,030 / year",Sports Car
MINI COOPER S 2.0A,"$121,800   ",22-Dec-2017,6yrs 7mths 3days,2017,"56,800 km",1,Auto,"1,998 cc",,"$57,501","$30,221","$59,917","$16,240 / year",Sports Car
SSANGYONG TIVOLI XLV 1.6A,"$63,800   ",09-Sep-2016,5yrs 3mths 21days,2016,"89,650 km",2,Auto,"1,597 cc",,"$53,694","$18,203","$42,176","$10,300 / year",SUV
HONDA FIT HYBRID 1.5A,"$79,800   ",22-Aug-2019,8yrs 3mths 3days,2018,"9,255 km",1,Auto,"1,496 cc",Petrol-Electric,"$35,870","$18,660","$36,144","$9,130 / year",Hatchback
BENTLEY CONTINENTAL GT 4.0A V8,"$399,900   ",11-Mar-2015,3yrs 9mths 20days,2014,"26,500 km",3,Auto,"3,993 cc",,"$68,668","$178,166","$216,442","$66,480 / year",Sports Car
MAZDA CX-3 2.0A STANDARD,"$79,800   ",28-Feb-2019,7yrs 9mths 9days,2018,"27,000 km",2,Auto,"1,998 cc",,"$35,403","$16,898","$40,239","$9,160 / year",SUV
BMW 3 SERIES 318I SPORT,"$193,000   ",22-Dec-2020,9yrs 7mths 3days,2020,"5,200 km",1,Auto,"1,998 cc",,"$45,510","$41,367","$81,125","$17,500 / year",Luxury Sedan
MERCEDES-BENZ C-CLASS C180 COUPE,"$175,500   ",27-Mar-2020,8yrs 10mths 8days,2019,"12,000 km",1,Auto,"1,497 cc",,"$32,801","$40,726","$65,825","$17,040 / year",Luxury Sedan
BMW X6 XDRIVE35I SUNROOF,"$88,800   ",25-Sep-2012,1yr 4mths 6days,2012,"82,000 km",1,Auto,"2,979 cc",,"$93,990","$77,597","$55,399","$36,940 / year",SUV
NISSAN QASHQAI 1.2A DIG-T PREMIUM,"$68,888   ",23-Jun-2017,6yrs 1mth 4days,2017,"42,800 km",1,Auto,"1,197 cc",,"$45,201","$18,583","$37,754","$10,180 / year",SUV
AUDI A3 SEDAN 1.0A TFSI S-TRONIC,"$77,800   ",31-Mar-2017,5yrs 10mths 12days,2016,"89,000 km",1,Auto,999 cc,,"$51,765","$24,582","$42,690","$11,860 / year",Luxury Sedan
MASERATI GRANTURISMO CAMBIOCORSA (COE TILL 11/2029),"$150,888   ",18-Nov-2009,8yrs 5mths 30days,2009,"150,000 km",More than 6,Auto,"4,691 cc",,"$39,129","$120,511","$33,286","$17,740 / year",Sports Car
BMW 1 SERIES 120I CABRIOLET (COE TILL 11/2028),"$57,900   ",07-Nov-2008,7yrs 5mths 19days,2008,"88,000 km",2,Auto,"1,995 cc",,"$32,121","$32,596","$24,016","$7,740 / year",Sports Car
MERCEDES-BENZ E-CLASS E230 (COE TILL 11/2027),"$52,900   ",10-Dec-2007,6yrs 6mths 12days,2007,"110,000 km",2,Auto,"2,497 cc",,"$50,168","$52,847","$32,808","$8,090 / year",Luxury Sedan
TOYOTA WISH 1.8A X (COE TILL 07/2024),"$29,800   ",30-Jul-2009,3yrs 2mths 11days,2009,"126,113 km",4,Auto,"1,797 cc",,"$21,443","$21,883","$6,862","$9,310 / year",MPV
MERCEDES-BENZ A-CLASS A160 (COE TILL 04/2029),"$57,900   ",25-Sep-2001,7yrs 11mths 12days,2001,"196,000 km",2,Auto,"1,598 cc",,"$26,175","$24,884","$20,825","$7,280 / year",Hatchback
TOYOTA COROLLA ALTIS 1.6A ELEGANCE (COE TILL 12/2030),"$60,999   ",11-Jan-2011,9yrs 7mths 13days,2010,"100,234 km",2,Auto,"1,598 cc",,"$37,303","$16,286","$35,913","$6,340 / year",Mid-Sized Sedan
VOLVO S60 T5,"$109,800   ",15-Oct-2018,7yrs 4mths 26days,2018,"29,000 km",1,Auto,"1,969 cc",,"$31,301","$26,813","$45,360","$12,820 / year",Luxury Sedan
TOYOTA YARIS CROSS 1.5 G,"$105,800   ",02-Mar-2021,9yrs 9mths 11days,2020,50 km,1,Auto,"1,490 cc",,"$42,000","$23,193","$48,229","$10,320 / year",SUV
PORSCHE CAYMAN R 3.4A PDK,"$188,000   ",24-Dec-2012,1yr 7mths 5days,2011,"82,000 km",2,Auto,"3,436 cc",,"$87,000","$97,065","$67,306","$87,170 / year",Sports Car
MERCEDES-BENZ GLC-CLASS GLC300 MILD HYBRID AMG LINE PREMIUM PLUS,"$270,988   ",17-Apr-2021,9yrs 10mths 29days,2020,30 km,1,Auto,"1,991 cc",,"$52,309","$61,139","$113,417","$23,190 / year",SUV
TOYOTA VELLFIRE 2.5A X,"$174,888   ",31-Aug-2020,9yrs 3mths 12days,2018,161 km,1,Auto,"2,493 cc",,"$38,110","$40,118","$71,530","$16,230 / year",MPV
HYUNDAI KONA ELECTRIC LONG RANGE SUNROOF,"$143,000   ",10-Apr-2019,7yrs 10mths 22days,2018,"30,000 km",1,Auto,Electric,,"$43,102","$42,156","$57,309","$16,140 / year",SUV
FERRARI 612 SCAGLIETTI F1 HGTS (COE TILL 11/2027),"$318,000   ",29-Nov-2007,6yrs 6mths 10days,2007,"51,000 km",4,Auto,"5,748 cc",,"$50,168","$263,107","$32,781","$48,670 / year",Sports Car
VOLVO S60 T5,"$109,800   ",15-Oct-2018,7yrs 4mths 26days,2018,"29,000 km",1,Auto,"1,969 cc",,"$31,301","$26,813","$45,360","$12,820 / year",Luxury Sedan
TOYOTA YARIS CROSS 1.5 G,"$105,800   ",02-Mar-2021,9yrs 9mths 11days,2020,50 km,1,Auto,"1,490 cc",,"$42,000","$23,193","$48,229","$10,320 / year",SUV
